"Timestamp","Do you agree to take part in this experiment?","Which weather condition do you associate with this sound effect?","How intense do you perceive the weather to be from this sound?","Do you have any other comments or feedback about this sound?","Which weather condition do you associate with this sound effect?","How intense do you perceive the weather to be from this sound?","Do you have any other comments or feedback about this sound?","Which weather condition do you associate with this sound effect?","How intense do you perceive the weather to be from this sound?","Do you have any other comments or feedback about this sound?","Which weather condition do you associate with this sound effect?","How intense do you perceive the weather to be from this sound?","Do you have any other comments or feedback about this sound?","Which weather condition do you associate with this sound effect?","How intense do you perceive the weather to be from this sound?","Do you have any other comments or feedback about this sound?","Which weather condition do you associate with this sound effect?","How intense do you perceive the weather to be from this sound?","Do you have any other comments or feedback about this sound?","Which weather condition do you associate with this sound effect?","How intense do you perceive the weather to be from this sound?","Do you have any other comments or feedback about this sound?","Which weather condition do you associate with this sound effect?","How intense do you perceive the weather to be from this sound?","Do you have any other comments or feedback about this sound?"
"2023/01/19 10:14:44 AM GMT","Yes","Rain","2","","Windy","2","","Thunderstorm","3","The storm ""sounds far away""","Windy","4","","Clear","1","","Clear","1","","Rain","2","","Snow","2",""
"2023/01/19 10:53:59 AM GMT","Yes","Rain","5","","Windy","3","","Stormy/thunder","3","","Gale force","5","","Sunny/clear/breezy","3","","Unsure ","3","","Lighter rain","4","","Snowy ","2",""
"2023/01/19 12:46:29 PM GMT","Yes","Heavy Rain","5","","Wind","4","","Thunder and Lightning","3","","Cold, Snow, Wind","4","","Early morning, clear","4","","Clear","4","This is so Ominous. I feel like these ducks are moments away from being abducted","Rain","3","","Snow is laying on the ground. it's Christmas.","3","I really want to sing ""Snow is falling, All around me"""
"2023/01/24 11:00:11 AM GMT","Yes","rain","3","the pitch is low, sound is okay.","windy","4","this is good","storm","5","","storm","5","","light breeze","3","","sunshine","4","","rain","5","","snow","4",""
"2023/01/25 7:57:32 PM GMT","Yes","Rain","3","","Wind (wind chimes)","2","","Storm","4","","Snow/Blizzard","5","","Sunny","1","","Sunny (beach weather)","1","","Rain","3","","Snow","2",""
"2023/01/26 1:41:51 PM GMT","Yes","Rain","3","Relaxing","Wind","2","Maybe not as initially clear as other sounds","Thunderstorm","4","","Wind","4","","Sunny","2","","About to Rain","3","","Rain","5","","wind","2","More unsure of this one; could be interpreted in many ways"
"2023/01/28 2:04:21 PM GMT","Yes","A rainy morning, light rain","2","This sound is only a bit rainy, i think you would here the drops bashing the roof if it was stronger","light wind, it is a relaxing sound. ","2","Only slight wind, it sounds like there is a by-pass in the background
","A storm, late autumn ","4","maybe some strong lightening would make the sound more intense 
","a tornado very strong","4","I think of the wizard of oz hurricane scene. because it is an intense sound, i would have this sound alot louder","this sounds like the calm after the storm or I am in snow white's wood","3","It is calming, I would have more calming wind or water sounds to make it even more calming
","this is giving me calm vibes, like i am in a park or something. I would take out the bass/wind because it is not calming","3","I would take out the bassey wind beacuse it does not sound natural. I can hear this is a recorded sound and not natural. 
","Heavy rain","4","This is the kind of weather i like to fall asleep to. Nice heavy rain
","Snow, like santa or elsa vibes","3","I am aware it is staged because of the bells however it makes it really obvious i am walking in heavy snow. "
"2023/01/29 3:12:46 PM GMT","Yes","Rain","5","","Wind","3","The sound of the wind chimes is a bit too overpowering when compared to the sound of the wind. It might be difficult to tell whether this is meant to be a weather sound or a ringtone. Perhaps it would be better to have a louder wind sound with the occassional wind chimes.","Thunderstorm with rain","4","Perhaps the thunder could be louder in some parts.","Strong wind/Blizzard","4","I can hear the wind clearly, but I'm not sure what the other noise is in the audio. It sounds a bit like wind chimes, but it's not obvious. I would say the additional noise is a bit distracting.","Sunny","4","There is a bit of background noise in addition to the birds singing. It would be good if this noise could be isolated, because it might seem to the user that there is a slight wind as well.","Cloudy/cloudy fall day","3","There is some slight music playing near the end of the audio, which reminds me of ""relaxing"" music. I think it would be good to remove this music because it doesn't seem like it has much to do with communicating the weather.","Heavy rain","5","It is clear that the sound is of heavy rain, but the crackling noise seems to have little to do with rain. It sounds a bit like a fireplace.","Snowy","4","I think the sound could be improved by slightly reducing the bell sounds. Bells can be associated with Christmas, and therefore snow, but users who may not celebrate Christmas  might not make that association."
"2023/02/02 10:26:01 AM GMT","Yes","Rain","2","","Wind","3","","Thunder, rain storm","4","","Wind, storm, gales","5","","Sunny","1","Sounds like spring or early summer","Sunny","1","Quite peaceful, seems like early morning","Rain","3","","Snowy","1",""
"2023/02/02 10:35:05 AM GMT","Yes","Rain","2","","Wind","3","","Thunder","3","","Wind","5","","Sunshine","1","","Sunshine","1","","Rain","4","","Snow","2",""
"2023/02/02 10:52:27 AM GMT","Yes","Rain","2","","Wind","2","","Thunderstorm","4","","Wind","4","","Wind, sunshine","1","","Wind","1","","Rain","5","","Snow","1",""
"2023/02/02 1:58:32 PM GMT","Yes","Rainy day","3","Soothing, calming","wind","3","Quite relaxing, meditative, musical","Thunder","4","Run for cover!","Gail force winds","5","Puts me on edge, associate it with fences blowing over!","Quiet normal sunny day, or maybe after the rain","1","Pleasant","Just before a storm?","2","Anticipate bad weather","Odd, like rain in a tent","4","Sounds very staticy","Snow + reindeer","2","The bells are weird, like a reindeer or something"
"2023/02/02 7:24:57 PM GMT","Yes","rain","2","sooothing","windy","3","pritti cling clang","thunder","3","deffo a storm but not like we're not in Kansas anymore type storm","V WIMDY","5","10/10 would sweep you off Ur feet","mild, calm, sunny even","1","relaxed, moisturised, in my lane","very gentle wind ?","2","hard to tell if that's rolling thunder or baby wind ","heavier rain","4","it's giving water pouring down the gutter","snow on the ground ","1","feels like krampus is stalking me, quite unnerving"
